Happiness.Score,Economy..GDP.per.Capita.,Freedom
4.138999939,0.659516692,0.014995855
4.119999886,0.667224824,0.423026294
4.096000195,0.894651949,0.122974776
4.080999851,0.381430715,0.443185955
4.032000065,0.350227714,0.324367851
4.027999878,0.161925331,0.363658696
3.970000029,0.233442038,0.466914654
3.936000109,0.438012987,0.162342027
3.875,0.375846535,0.336384207
3.808000088,0.521021247,0.390661299
3.795000076,0.85842818,0.4087859728645162
3.79399991,0.401477218,0.10617952
3.766000032,1.122094154,0.505196333
3.657000065,0.431085408,0.425962776
3.644000053,0.305808693,0.189196765
3.602999926,0.368610263,0.030369857
3.592999935,0.591683447,0.249463722
3.59100008,0.397248626,0.147062436
3.532999992,0.119041793,0.332881182
3.506999969,0.24454993,0.348587513
3.494999886,0.305444717,0.380426139
3.470999956,0.368745893,0.581843853
3.461999893,0.777153134,0.081539445
3.348999977,0.511135876,0.390017778
2.904999971,0.091622569,0.059900753
2.693000078,0.9847182019096775,0.270842046
